close price,close time,comment,commission,expiration,lots,magic number,open price,open time,profit,stop loss,swap,symbol,take profit,ticket,order type,account id
0,2012.10.05 23:15,Wires,0,1970.01.01 00:00,0.01,0,0,2012.10.05 23:15,1000000,0,0,,0,18716923,6,10952720
101.747,2012.10.15 16:51,cancelled,0,1970.01.01 00:00,1,0,101.83,2012.10.15 16:50,0,102.1,0,EURJPYpro,0,18744360,3,10952720
103.246,2012.10.24 17:55,[sl],0,1970.01.01 00:00,1,30001,103.345,2012.10.24 17:00,9900,103.245,0,EURJPYpro,0,18797412,1,10952720
103.186,2012.10.24 19:13,[sl],0,1970.01.01 00:00,1,30001,103.215,2012.10.24 17:56,2900,103.185,0,EURJPYpro,0,18797817,1,10952720
103.29,2012.10.24 20:30,[sl],0,1970.01.01 00:00,1,30001,103.149,2012.10.24 19:14,-14100,103.289,0,EURJPYpro,103.148,18798110,1,10952720
104.064,2012.10.25 21:38,[tp],0,1970.01.01 00:00,1,0,104.065,2012.10.25 21:37,100,0,0,EURJPYpro,104.064,18803595,1,10952720
104.129,2012.10.25 21:53,cancelled,0,1970.01.01 00:00,1,0,104.11,2012.10.25 21:53,0,0,0,EURJPYpro,104.095,18803711,5,10952720
104.124,2012.10.25 22:09,[sl],0,1970.01.01 00:00,1,0,104.081,2012.10.25 22:04,-4300,104.124,0,EURJPYpro,104.08,18803763,1,10952720
103.525,2012.11.01 16:30,xEMA_1.4.9,0,1970.01.01 00:00,1,30001,103.846,2012.11.01 12:33,-32100,103.022,0,EURJPYpro,0,18824178,0,10952720
103.538,2012.11.01 17:21,xEMA_1.4.9,0,1970.01.01 00:00,1,30001,103.63,2012.11.01 17:19,-9200,103.127,0,EURJPYpro,0,18827393,0,10952720
103.417,2012.11.01 18:22,expiration [2012.11.01 18:22],0,2012.11.01 18:22,1,30001,103.627,2012.11.01 17:22,0,103.127,0,EURJPYpro,0,18827453,4,10952720
103.709,2012.11.02 00:19,xEMA_1.4.9[sl],0,1970.01.01 00:00,1,30001,103.624,2012.11.01 19:29,8500,103.71,0,EURJPYpro,0,18829730,0,10952720
103.5,2012.11.02 14:55,xEMA_1.4.9[sl],0,1970.01.01 00:00,1,30001,103.737,2012.11.02 00:19,-23700,103.5,-400,EURJPYpro,0,18831598,0,10952720
0,2012.11.03 08:40,Promotional Fees,0,1970.01.01 00:00,0.01,0,0,2012.11.03 08:40,5650,0,0,,0,18837699,6,10952720
106.45,2012.11.27 10:39,[sl],0,1970.01.01 00:00,0.1,0,106.599,2012.11.27 10:15,-1490,106.45,0,EURJPYpro,106.6,18920140,0,10952720
117.857,2013.01.11 15:30,xEMA_1.4.9,0,1970.01.01 00:00,1,30001,114.843,2013.01.10 07:02,301400,116.116,-100,EURJPYpro,0,19063317,0,10952720
117.814,2013.01.15 21:30,expiration [2013.01.15 21:30],0,2013.01.15 21:30,1,30001,118.79,2013.01.15 20:30,0,117.654,0,EURJPYpro,0,19088882,4,10952720
117.96,2013.01.15 22:30,expiration [2013.01.15 22:30],0,2013.01.15 22:30,1,30001,118.594,2013.01.15 21:30,0,117.699,0,EURJPYpro,0,19089605,4,10952720
117.515,2013.01.16 10:11,xEMA_1.4.9[sl],0,1970.01.01 00:00,1,30001,118.5,2013.01.15 23:01,-98500,117.517,-100,EURJPYpro,0,19090013,0,10952720
117.242,2013.01.16 11:11,expiration [2013.01.16 11:11],0,2013.01.16 11:11,1,30001,118.082,2013.01.16 10:11,0,117.582,0,EURJPYpro,0,19093764,4,10952720
117.303,2013.01.16 12:11,expiration [2013.01.16 12:11],0,2013.01.16 12:11,1,30001,117.972,2013.01.16 11:11,0,117.216,0,EURJPYpro,0,19094318,4,10952720
119.977,2013.01.18 11:30,xEMA_1.4.9,0,1970.01.01 00:00,1,30001,119.335,2013.01.17 23:00,64200,119.66,0,EURJPYpro,0,19105761,0,10952720
119.536,2013.01.21 16:30,expiration [2013.01.21 16:30],0,2013.01.21 16:30,1,30001,119.59,2013.01.21 15:30,0,118.695,0,EURJPYpro,0,19116610,4,10952720
119.326,2013.01.21 17:30,expiration [2013.01.21 17:30],0,2013.01.21 17:30,1,30001,119.545,2013.01.21 16:30,0,118.679,0,EURJPYpro,0,19116719,4,10952720
119.249,2013.01.21 18:30,expiration [2013.01.21 18:30],0,2013.01.21 18:30,1,30001,119.463,2013.01.21 17:30,0,118.722,0,EURJPYpro,0,19116853,4,10952720
119.483,2013.01.22 01:15,xEMA_1.4.9[sl],0,1970.01.01 00:00,1,30001,119.361,2013.01.21 18:44,12200,119.491,0,EURJPYpro,0,19117166,0,10952720
118.752,2013.01.22 13:30,xEMA_1.4.9[sl],0,1970.01.01 00:00,1,30001,119.512,2013.01.22 01:16,-76000,118.762,-100,EURJPYpro,0,19118339,0,10952720
119.034,2013.01.22 14:30,expiration [2013.01.22 14:30],0,2013.01.22 14:30,1,30001,119.315,2013.01.22 13:30,0,118.815,0,EURJPYpro,0,19121422,4,10952720
119.037,2013.01.22 15:30,expiration [2013.01.22 15:30],0,2013.01.22 15:30,1,30001,119.267,2013.01.22 14:30,0,118.71,0,EURJPYpro,0,19121909,4,10952720
118.607,2013.01.22 17:45,xEMA_1.4.9[sl],0,1970.01.01 00:00,1,30001,119.232,2013.01.22 15:50,-62500,118.608,0,EURJPYpro,0,19122077,0,10952720
117.976,2013.01.22 18:45,expiration [2013.01.22 18:45],0,2013.01.22 18:45,1,30001,119.146,2013.01.22 17:45,0,118.516,0,EURJPYpro,0,19122792,4,10952720
117.606,2013.01.23 17:11,xEMA_1.4.9[sl],0,1970.01.01 00:00,1,30001,117.773,2013.01.23 13:30,16700,117.603,0,EURJPYpro,0,19128003,1,10952720
117.91,2013.01.23 19:01,xEMA_1.4.9,0,1970.01.01 00:00,1,30001,117.25,2013.01.23 18:00,-66000,118.714,0,EURJPYpro,0,19129318,1,10952720
117.794,2013.01.23 20:01,expiration [2013.01.23 20:01],0,2013.01.23 20:01,1,30001,117.419,2013.01.23 19:01,0,118.649,0,EURJPYpro,0,19129662,5,10952720
117.881,2013.01.23 21:01,expiration [2013.01.23 21:01],0,2013.01.23 21:01,1,30001,117.411,2013.01.23 20:01,0,118.589,0,EURJPYpro,0,19129880,5,10952720
118.078,2013.01.23 22:01,expiration [2013.01.23 22:01],0,2013.01.23 22:01,1,30001,117.411,2013.01.23 21:01,0,118.45,0,EURJPYpro,0,19130027,5,10952720
118.062,2013.01.23 23:00,expiration [2013.01.23 23:00],0,2013.01.23 23:00,1,30001,117.409,2013.01.23 22:01,0,118.471,0,EURJPYpro,0,19130434,5,10952720
118.12,2013.01.24 00:00,expiration [2013.01.24 00:00],0,2013.01.24 00:00,1,30001,117.409,2013.01.23 23:00,0,118.47,0,EURJPYpro,0,19130676,5,10952720
117.603,2013.01.24 01:00,expiration [2013.01.24 01:00],0,2013.01.24 01:00,1,30001,117.412,2013.01.24 00:00,0,118.541,0,EURJPYpro,0,19130900,5,10952720
117.689,2013.01.24 01:59,expiration [2013.01.24 01:59],0,2013.01.24 01:59,1,30001,117.425,2013.01.24 01:00,0,118.577,0,EURJPYpro,0,19131529,5,10952720
117.821,2013.01.24 02:59,expiration [2013.01.24 02:59],0,2013.01.24 02:59,1,30001,117.447,2013.01.24 01:59,0,118.566,0,EURJPYpro,0,19131720,5,10952720
117.944,2013.01.24 03:58,expiration [2013.01.24 03:58],0,2013.01.24 03:58,1,30001,117.54,2013.01.24 02:59,0,118.473,0,EURJPYpro,0,19131787,5,10952720
118.054,2013.01.24 04:57,expiration [2013.01.24 04:57],0,2013.01.24 04:57,1,30001,117.614,2013.01.24 03:58,0,118.423,0,EURJPYpro,0,19131865,5,10952720
118.098,2013.01.24 05:57,expiration [2013.01.24 05:57],0,2013.01.24 05:57,1,30001,117.72,2013.01.24 04:57,0,118.313,0,EURJPYpro,0,19131940,5,10952720
118.02,2013.01.24 06:57,expiration [2013.01.24 06:57],0,2013.01.24 06:57,1,30001,117.737,2013.01.24 05:57,0,118.372,0,EURJPYpro,0,19132007,5,10952720
117.845,2013.01.24 07:57,expiration [2013.01.24 07:57],0,2013.01.24 07:57,1,30001,117.772,2013.01.24 06:57,0,118.417,0,EURJPYpro,0,19132137,5,10952720
118.404,2013.01.24 11:47,xEMA_1.4.9[sl],0,1970.01.01 00:00,1,30001,117.775,2013.01.24 08:02,-62900,118.404,0,EURJPYpro,0,19132359,1,10952720
118.755,2013.01.24 12:47,expiration [2013.01.24 12:47],0,2013.01.24 12:47,1,30001,117.764,2013.01.24 11:47,0,118.306,0,EURJPYpro,0,19133218,5,10952720
118.711,2013.01.24 13:47,expiration [2013.01.24 13:47],0,2013.01.24 13:47,1,30001,117.789,2013.01.24 12:47,0,118.48,0,EURJPYpro,0,19133633,5,10952720
118.952,2013.01.24 14:47,expiration [2013.01.24 14:47],0,2013.01.24 14:47,1,30001,117.772,2013.01.24 13:47,0,118.87,0,EURJPYpro,0,19133895,5,10952720
119.195,2013.01.24 15:47,expiration [2013.01.24 15:47],0,2013.01.24 15:47,1,30001,117.795,2013.01.24 14:47,0,119.095,0,EURJPYpro,0,19134176,5,10952720
119.144,2013.01.24 16:47,expiration [2013.01.24 16:47],0,2013.01.24 16:47,1,30001,117.803,2013.01.24 15:47,0,119.397,0,EURJPYpro,0,19134391,5,10952720
122.231,2013.01.26 00:19,xEMA_1.4.9[sl],0,1970.01.01 00:00,1,30001,120.011,2013.01.24 23:00,222000,122.231,-100,EURJPYpro,0,19136560,0,10952720
121.383,2013.01.29 19:49,xEMA_1.4.9[sl],0,1970.01.01 00:00,1,30001,121.98,2013.01.29 17:36,-59700,121.383,0,EURJPYpro,0,19152943,0,10952720
121.406,2013.01.29 20:49,expiration [2013.01.29 20:49],0,2013.01.29 20:49,1,30001,121.979,2013.01.29 19:49,0,121.422,0,EURJPYpro,0,19153461,4,10952720
121.574,2013.01.29 21:49,expiration [2013.01.29 21:49],0,2013.01.29 21:49,1,30001,121.931,2013.01.29 20:49,0,121.223,0,EURJPYpro,0,19153824,4,10952720
121.796,2013.01.29 22:49,expiration [2013.01.29 22:49],0,2013.01.29 22:49,1,30001,121.882,2013.01.29 21:49,0,121.084,0,EURJPYpro,0,19154026,4,10952720
121.998,2013.01.30 02:26,xEMA_1.4.9[sl],0,1970.01.01 00:00,1,30001,121.824,2013.01.29 22:56,17400,122,0,EURJPYpro,0,19154231,0,10952720
123.325,2013.01.30 22:30,xEMA_1.4.9[sl],0,1970.01.01 00:00,1,30001,122.022,2013.01.30 02:26,130300,123.432,-100,EURJPYpro,0,19155452,0,10952720
123.231,2013.01.31 22:28,xEMA_1.4.9[sl],0,1970.01.01 00:00,1,30001,123.41,2013.01.31 21:00,-17900,123.232,0,EURJPYpro,123.412,19164606,0,10952720
125.166,2013.02.05 03:25,cancelled,0,1970.01.01 00:00,1,0,122.92,2013.01.31 21:54,0,123.011,0,EURJPYpro,122.82,19164722,5,10952720
123.85,2013.02.01 00:55,[tp],0,1970.01.01 00:00,1,0,123.805,2013.01.31 23:52,4500,123.56,0,EURJPYpro,123.85,19164733,0,10952720
123.312,2013.01.31 22:36,xEMA_1.4.9[sl],0,1970.01.01 00:00,1,30001,123.272,2013.01.31 22:29,4000,123.312,0,EURJPYpro,0,19164845,0,10952720
123.25,2013.01.31 22:46,xEMA_1.4.9[sl],0,1970.01.01 00:00,1,30001,123.272,2013.01.31 22:44,-2200,123.252,0,EURJPYpro,123.277,19164898,0,10952720
123.302,2013.01.31 22:56,xEMA_1.4.9[tp],0,1970.01.01 00:00,1,30001,123.306,2013.01.31 22:47,-400,123.001,0,EURJPYpro,123.302,19164942,0,10952720
123.249,2013.01.31 22:54,[tp],0,1970.01.01 00:00,1,0,123.245,2013.01.31 22:50,400,123.214,0,EURJPYpro,123.249,19164957,0,10952720
124.475,2013.04.05 15:00,xEMA_1.4.9,0,1970.01.01 00:00,0.1,30001,122.296,2013.04.04 19:30,21790,124.1,-10,EURJPYpro,0,19455024,0,10952720
128.115,2013.04.08 18:10,xEMA_1.4.9[sl],0,1970.01.01 00:00,0.1,30001,126.546,2013.04.06 00:00,15690,128.118,-10,EURJPYpro,0,19469108,0,10952720
128.215,2013.04.08 22:26,xEMA_1.4.9[sl],0,1970.01.01 00:00,0.1,30001,128.216,2013.04.08 18:15,-10,128.22,0,EURJPYpro,0,19476778,0,10952720
98.974,2013.04.13 01:56,cancelled,0,1970.01.01 00:00,0.1,0,98,2013.04.12 23:42,0,0,0,USDJPYpro,0,19506201,2,10952720
