Ticket	Open Time	Type	Size	Item	Price	S / L	T / P	Close Time	Price	Commission	Taxes	Swap	Profit
4408482	2013.04.22 08:12	buy	0.3	usdjpypro	99.645	99.35	100.25	2013.04.22 08:22	99.694	-154	0	0	1 470
4408021	2013.04.19 18:03	buy	0.2	eurjpypro	129.791	130.017	0	2013.04.22 08:30	130.263	-102	0	-28	9 440
4406976	2013.04.19 18:03	buy	0.14	eurjpypro	129.791	129.391	0	2013.04.22 03:37	130.405	-72	0	-20	8 596
4404523	2013.04.19 07:30	buy	0.2	eurjpypro	129.466	129.666	0	2013.04.19 16:02	129.666	-103	0	0	4 000
4404153	2013.04.19 07:30	buy	0.1	eurjpypro	129.466	129.506	0	2013.04.19 09:45	129.899	-51	0	0	4 330
4403804	2013.04.19 07:30	buy	0.04	eurjpypro	129.466	129.506	0	2013.04.19 08:21	129.619	-20	0	0	612
4361387	2013.04.11 06:30	buy	0.5	usdjpypro	99.764	99.3	0	2013.04.11 06:50	99.718	-257	0	0	-2 300
4351159	2013.04.09 08:20	sell	0.79	eurusdpro	1.30279	1.30574	1.29723	2013.04.09 08:47	1.30295	-405	0	0	-1 251
4351158	2013.04.09 08:20	sell	0.79	eurusdpro	1.3028	1.30574	1.27144	2013.04.09 08:52	1.30271	-405	0	0	703
4351071	2013.04.09 08:06	sell	0.79	eurusdpro	1.30288	0	1.29723	2013.04.09 08:09	1.30281	-405	0	0	548
4351070	2013.04.09 08:06	sell	0.79	eurusdpro	1.30288	1.30574	1.27144	2013.04.09 08:14	1.30273	-405	0	0	1 176
4351069	2013.04.09 08:06	sell	0.79	eurusdpro	1.3029	1.304	1.30195	2013.04.09 09:28	1.304	-405	0	0	-8 599
4349997	2013.04.09 06:41	buy	0.1	usdjpypro	98.9	98.6	99.4	2013.04.09 08:05	99.115	-51	0	0	2 150
4349213	2013.04.09 06:26	buy	0.1	audjpypro	103.2	102.9	103.75	2013.04.09 07:17	102.9	-51	0	0	-3 000
4349197	2013.04.09 06:27	buy	0.1	eurjpypro	128.9	128.7	129.5	2013.04.09 07:13	128.7	-51	0	0	-2 000
4345493	2013.04.08 09:10	buy	0.5	eurjpypro	128.145	128.15	0	2013.04.08 13:28	128.15	-257	0	0	250
4345443	2013.04.08 09:10	buy	0.2	eurjpypro	128.145	127.819	0	2013.04.08 09:18	128.233	-103	0	0	1 760
4345118	2013.04.05 15:00	buy	0.4	eurjpypro	126.54	128.118	0	2013.04.08 09:10	128.106	-205	0	-56	62 640
4341526	2013.04.05 15:00	buy	0.2	eurjpypro	126.54	127.54	0	2013.04.08 08:13	128.643	-103	0	-28	42 060
4330636	2013.04.04 10:30	buy	0.49	eurjpypro	122.292	124	0	2013.04.05 06:00	124.483	-251	0	-69	107 359
4211107	2013.03.05 02:45	buy	1	eurjpypro	121.629	121.327	0	2013.03.05 04:37	121.327	-513	0	0	-30 200
4209884	2013.03.04 18:23	buy	1	eurjpypro	121.524	121.561	0	2013.03.05 02:43	121.561	-513	0	-140	3 700
4209388	2013.03.04 15:50	buy	1	eurjpypro	121.579	121.293	0	2013.03.04 16:02	121.293	-513	0	0	-28 600
4209181	2013.03.04 14:23	buy	1	eurjpypro	121.585	121.345	0	2013.03.04 15:22	121.345	-513	0	0	-24 000
4208348	2013.03.04 10:02	buy	1	eurjpypro	121.603	121.478	0	2013.03.04 14:17	121.478	-513	0	0	-12 500
4199409	2013.02.28 13:30	sell	1	eurjpypro	120.933	121.226	120.9	2013.02.28 13:40	121.226	-513	0	0	-29 300
4199208	2013.02.28 11:31	sell	1	eurjpypro	120.881	121.087	0	2013.02.28 12:33	121.087	-513	0	0	-20 600
4198968	2013.02.28 10:24	sell	0.5	eurjpypro	120.921	120.901	0	2013.02.28 11:30	120.901	-257	0	0	1 000
4198938	2013.02.28 10:24	sell	0.5	eurjpypro	120.921	121.184	0	2013.02.28 10:32	120.909	-257	0	0	600
4198382	2013.02.28 09:10	sell	1	eurjpypro	121.288	120.941	0	2013.02.28 10:19	120.941	-513	0	0	34 700
4179126	2013.02.25 14:40	buy	1	eurjpypro	125.022	124.82	0	2013.02.25 14:54	124.82	-513	0	0	-20 200
4178843	2013.02.25 14:00	buy	1	eurjpypro	124.925	125	0	2013.02.25 14:40	125	-513	0	0	7 500
4178486	2013.02.25 12:50	buy	1	eurjpypro	124.934	124.63	0	2013.02.25 13:58	124.953	-513	0	0	1 900
4178485	2013.02.25 12:50	buy	1	eurjpypro	124.938	124.671	0	2013.02.25 13:58	124.968	-513	0	0	3 000
4172982	2013.02.22 11:04	sell	1	eurjpypro	122.965	123.384	0	2013.02.24 22:01	124.91	-513	0	-150	-194 500
4172979	2013.02.22 11:04	sell	1	eurjpypro	122.965	123.383	0	2013.02.24 22:01	124.91	-513	0	-150	-194 500
4164527	2013.02.21 03:37	sell	1	eurjpypro	124.043	123.509	0	2013.02.22 08:30	123.509	-513	0	-150	53 400
4164526	2013.02.21 03:37	sell	1	eurjpypro	124.044	123.509	0	2013.02.21 20:30	122.819	-513	0	0	122 500
4160776	2013.02.20 13:34	buy	1	eurjpypro	125.189	124.689	0	2013.02.20 19:13	124.689	-513	0	0	-50 000
4160775	2013.02.20 13:34	buy	1	eurjpypro	125.189	124.889	0	2013.02.20 16:36	124.889	-513	0	0	-30 000
4160774	2013.02.20 13:34	buy	1	eurjpypro	125.189	124.876	0	2013.02.20 16:36	124.876	-513	0	0	-31 300
4160773	2013.02.20 13:34	buy	1	eurjpypro	125.189	124.694	0	2013.02.20 19:13	124.694	-513	0	0	-49 500
4160376	2013.02.20 11:30	buy	1	eurjpypro	125.385	124.764	0	2013.02.20 13:33	125.114	-513	0	0	-27 100
4160375	2013.02.20 11:30	buy	1	eurjpypro	125.385	124.838	0	2013.02.20 12:00	125.134	-513	0	0	-25 100
4160371	2013.02.20 11:27	buy	1	eurjpypro	125.388	125.099	0	2013.02.20 11:28	125.348	-513	0	0	-4 000
4158341	2013.02.20 02:18	buy	1	eurjpypro	125.612	125.097	0	2013.02.20 05:21	125.097	-513	0	0	-51 500
4158340	2013.02.20 02:18	buy	1	eurjpypro	125.614	125.104	0	2013.02.20 04:30	125.291	-513	0	0	-32 300
4158093	2013.02.20 00:33	buy	1	eurjpypro	125.712	125.593	0	2013.02.20 02:18	125.593	-513	0	0	-11 900
4155632	2013.02.19 11:00	sell	1	eurjpypro	124.668	124.919	0	2013.02.19 14:17	124.919	-513	0	0	-25 100
4153119	2013.02.18 19:00	buy	1	eurjpypro	125.495	124.976	0	2013.02.18 23:56	124.976	-513	0	-140	-51 900
4153118	2013.02.18 19:00	buy	1	eurjpypro	125.495	125.098	0	2013.02.18 21:30	125.4	-513	0	0	-9 500
4151822	2013.02.18 09:30	buy	1	eurjpypro	125.888	125.538	0	2013.02.18 09:59	125.538	-513	0	0	-35 000
4145140	2013.02.15 01:13	sell	1	eurjpypro	123.844	123.93	0	2013.02.15 02:03	123.93	-513	0	0	-8 600
4143158	2013.02.14 13:56	sell	1	eurjpypro	124.252	124.368	0	2013.02.14 23:30	124.159	-513	0	-150	9 300
4143157	2013.02.14 13:59	sell	1	eurjpypro	124.241	124.368	0	2013.02.15 00:14	124.368	-513	0	-150	-12 700
4139881	2013.02.14 06:58	buy	1	eurjpypro	125.619	125.101	0	2013.02.14 07:19	125.076	-513	0	0	-54 300
4139876	2013.02.14 06:58	buy	1	eurjpypro	125.619	125.115	0	2013.02.14 07:16	125.291	-513	0	0	-32 800
4139400	2013.02.14 03:39	buy	1	eurjpypro	125.622	125.573	0	2013.02.14 06:58	125.573	-513	0	0	-4 900
4139399	2013.02.14 03:39	buy	1	eurjpypro	125.622	125.579	0	2013.02.14 06:58	125.579	-513	0	0	-4 300
4139019	2013.02.14 01:05	buy	1	eurjpypro	125.6	125.601	0	2013.02.14 03:27	125.601	-513	0	0	100
4139018	2013.02.14 01:05	buy	1	eurjpypro	125.6	125.463	0	2013.02.14 03:39	125.463	-513	0	0	-13 700
4138249	2013.02.13 18:01	buy	1	eurjpypro	125.895	125.067	0	2013.02.13 18:04	125.818	-513	0	0	-7 700
4138248	2013.02.13 18:01	buy	1	eurjpypro	125.895	125.523	0	2013.02.13 18:04	125.817	-513	0	0	-7 800
4118622	2013.02.08 09:22	sell	0.5	eurjpypro	124.695	124	0	2013.02.08 13:53	124.014	-257	0	0	34 050
4117754	2013.02.08 09:22	sell	0.5	eurjpypro	124.695	124	0	2013.02.08 12:38	123.693	-257	0	0	50 100
4117753	2013.02.08 09:22	sell	1	eurjpypro	124.695	124.224	0	2013.02.08 14:30	124.224	-513	0	0	47 100
4117592	2013.02.08 08:36	sell	1	eurjpypro	124.128	124.722	0	2013.02.08 09:19	124.722	-513	0	0	-59 400
4117591	2013.02.08 08:36	sell	1	eurjpypro	124.118	124.717	0	2013.02.08 09:19	124.717	-513	0	0	-59 900
4116771	2013.02.08 05:11	sell	1	eurjpypro	125.3	124.134	0	2013.02.08 08:35	124.134	-513	0	0	116 600
4116770	2013.02.08 05:11	sell	1	eurjpypro	125.3	124.129	0	2013.02.08 08:35	124.129	-513	0	0	117 100
4115267	2013.02.07 19:08	sell	1	eurjpypro	125.173	125.535	0	2013.02.07 22:55	125.535	-513	0	-150	-36 200
4115261	2013.02.07 19:08	sell	1	eurjpypro	125.173	125.419	0	2013.02.08 01:59	125.419	-513	0	-150	-24 600
4111900	2013.02.07 13:18	buy	1	eurjpypro	126.852	126.65	0	2013.02.07 13:39	126.633	-513	0	0	-21 900
4111762	2013.02.07 12:48	buy	1	eurjpypro	126.934	126.798	0	2013.02.07 13:16	126.798	-513	0	0	-13 600
4111691	2013.02.07 12:35	buy	1	eurjpypro	127.18	126.898	0	2013.02.07 12:48	126.898	-513	0	0	-28 200
4111209	2013.02.07 10:08	buy	1	eurjpypro	127.173	127.162	0	2013.02.07 12:34	127.162	-513	0	0	-1 100
4110075	2013.02.07 07:24	buy	1	eurjpypro	126.569	127.121	0	2013.02.07 10:08	127.121	-513	0	0	55 200
4109493	2013.02.07 05:01	buy	1	eurjpypro	126.324	126.556	0	2013.02.07 07:24	126.556	-513	0	0	23 200
4109282	2013.02.07 02:13	buy	1	eurjpypro	126.363	126.158	0	2013.02.07 03:09	126.158	-513	0	0	-20 500
4108909	2013.02.07 00:07	buy	1	eurjpypro	126.416	126.158	0	2013.02.07 01:07	126.158	-513	0	0	-25 800
4108503	2013.02.06 20:29	buy	1	eurjpypro	126.454	126.346	0	2013.02.06 23:59	126.346	-513	0	-420	-10 800
4101935	2013.02.05 15:26	buy	1	eurjpypro	126.249	126.547	0	2013.02.05 17:30	126.547	-513	0	0	29 800
4101646	2013.02.05 14:31	buy	1	eurjpypro	125.861	126.23	0	2013.02.05 15:18	126.23	-513	0	0	36 900
4101352	2013.02.05 13:43	buy	1	eurjpypro	125.991	125.839	0	2013.02.05 14:31	125.839	-513	0	0	-15 200
4101250	2013.02.05 13:32	buy	1	eurjpypro	126.258	125.99	0	2013.02.05 13:43	125.99	-513	0	0	-26 800
4101101	2013.02.05 13:04	buy	1	eurjpypro	126.451	126.227	0	2013.02.05 13:31	126.227	-513	0	0	-22 400
4100776	2013.02.05 11:50	buy	1	eurjpypro	126.283	126.421	0	2013.02.05 13:03	126.421	-513	0	0	13 800
4100320	2013.02.05 10:30	buy	1	eurjpypro	125.688	126.262	0	2013.02.05 11:48	126.262	-513	0	0	57 400
4043662	2013.01.22 07:54	buy	0.5	usdjpypro	89.025	88.625	89.4	2013.01.22 09:08	88.614	-257	0	0	-20 550
4037392	2013.01.21 08:18	buy	0.5	usdjpypro	89.531	89.025	90	2013.01.21 15:00	89.686	-257	0	0	7 750
4027512	2013.01.17 14:41	buy	1	eurjpypro	119.106	119.26	120.06	2013.01.17 18:20	120.06	-513	0	0	95 400
4027511	2013.01.17 14:41	buy	1	eurjpypro	119.109	119.7	0	2013.01.18 02:30	119.979	-513	0	-140	87 000
4027211	2013.01.17 14:00	buy	1	eurjpypro	119.327	119.093	0	2013.01.17 14:41	119.093	-513	0	0	-23 400
4024137	2013.01.17 04:52	sell	1	eurjpypro	117.29	117.492	0	2013.01.17 05:55	117.492	-513	0	0	-20 200
4023728	2013.01.17 03:14	sell	1	eurjpypro	117.506	117.311	0	2013.01.17 04:51	117.311	-513	0	0	19 500
4017312	2013.01.15 20:17	buy	1	eurjpypro	118.204	117.714	0	2013.01.16 00:52	117.714	-513	0	-140	-49 000
4017311	2013.01.15 20:17	buy	1	eurjpypro	118.204	117.718	0	2013.01.16 00:52	117.718	-513	0	-140	-48 600
4015728	2013.01.15 15:04	buy	1	eurjpypro	118.501	117.9	0	2013.01.15 18:53	117.9	-513	0	0	-60 100
4015727	2013.01.15 15:04	buy	1	eurjpypro	118.501	117.908	0	2013.01.15 18:53	117.897	-513	0	0	-60 400
3999987	2013.01.10 14:42	buy	1	eurjpypro	116.174	118.166	0	2013.01.11 01:03	118.166	-513	0	-140	199 200
3999659	2013.01.10 14:08	sell	1	eurjpypro	116.306	0	0	2013.01.10 14:09	116.312	-513	0	0	-600
3998676	2013.01.10 13:33	buy	2	eurjpypro	115.59	116.016	0	2013.01.10 14:10	116.306	-1 026	0	0	143 200
3998667	2013.01.10 13:33	buy	1	eurjpypro	115.609	116.153	0	2013.01.10 14:42	116.153	-513	0	0	54 400
3995498	2013.01.09 22:03	buy	2	eurjpypro	114.832	114.832	0	2013.01.10 08:14	115.306	-1 026	0	0	94 800
3995497	2013.01.09 22:03	buy	1	eurjpypro	114.832	115.606	0	2013.01.10 13:33	115.606	-513	0	0	77 400
3993824	2013.01.09 13:27	sell	1	eurjpypro	114.258	114.455	0	2013.01.09 14:00	114.399	-513	0	0	-14 100
3993494	2013.01.09 11:29	sell	1	eurjpypro	114.254	114.353	0	2013.01.09 12:41	114.353	-513	0	0	-9 900
3991452	2013.01.08 23:33	sell	1	eurjpypro	113.815	113.901	0	2013.01.09 00:12	113.901	-513	0	0	-8 600
3991315	2013.01.08 22:33	sell	1	eurjpypro	113.862	113.844	0	2013.01.08 23:21	113.844	-513	0	0	1 800
3990691	2013.01.08 17:03	sell	1	eurjpypro	114.152	114.002	0	2013.01.08 22:06	114.002	-513	0	-150	15 000
3990627	2013.01.08 16:42	sell	1	eurjpypro	113.914	114.161	0	2013.01.08 17:02	114.161	-513	0	0	-24 700
3990415	2013.01.08 16:01	sell	1	eurjpypro	113.835	113.938	0	2013.01.08 16:42	113.938	-513	0	0	-10 300
3987575	2013.01.08 04:15	buy	1	eurjpypro	114.945	114.667	0	2013.01.08 06:27	114.667	-513	0	0	-27 800
3987423	2013.01.08 02:38	buy	1	eurjpypro	114.953	114.846	0	2013.01.08 03:57	114.846	-513	0	0	-10 700
3986593	2013.01.08 02:26	buy	1	eurjpypro	114.93	114.938	0	2013.01.08 02:37	114.938	-513	0	0	800
3986000	2013.01.07 22:45	buy	1	eurjpypro	114.948	114.653	0	2013.01.07 23:50	114.653	-513	0	0	-29 500
3985253	2013.01.07 16:30	buy	1	eurjpypro	114.996	114.918	0	2013.01.07 22:39	114.918	-513	0	-140	-7 800
3984160	2013.01.07 13:20	buy	1	eurjpypro	114.582	114.27	0	2013.01.07 13:20	114.57	-513	0	0	-1 200
3984011	2013.01.07 12:25	buy	1	eurjpypro	114.643	114.352	0	2013.01.07 12:43	114.352	-513	0	0	-29 100
3981959	2013.01.07 01:12	buy	1	eurjpypro	115.168	114.913	0	2013.01.07 01:41	114.913	-513	0	0	-25 500
3980061	2013.01.04 14:52	buy	1	eurjpypro	114.653	115.244	0	2013.01.07 00:01	115.244	-513	0	-140	59 100
3979648	2013.01.04 13:51	buy	1	eurjpypro	114.645	114.412	0	2013.01.04 14:19	114.412	-513	0	0	-23 300
3979415	2013.01.04 13:31	buy	1	eurjpypro	114.723	114.515	0	2013.01.04 13:43	114.515	-513	0	0	-20 800
3979219	2013.01.04 13:30	buy	1	eurjpypro	114.845	114.634	0	2013.01.04 13:31	114.634	-513	0	0	-21 100
3978388	2013.01.04 09:36	buy	1	eurjpypro	114.682	114.762	0	2013.01.04 13:30	114.762	-513	0	0	8 000
3978116	2013.01.04 08:30	buy	1	eurjpypro	114.857	114.662	0	2013.01.04 09:35	114.662	-513	0	0	-19 500
3972701	2013.01.03 08:37	buy	1	eurjpypro	114.729	114.473	0	2013.01.03 10:04	114.473	-513	0	0	-25 600
3967158	2013.01.02 04:48	buy	1	eurjpypro	115.512	115.417	0	2013.01.02 09:28	115.398	-513	0	0	-11 400
3967024	2013.01.02 04:08	buy	1	eurjpypro	115.687	115.497	0	2013.01.02 04:43	115.497	-513	0	0	-19 000
3966243	2012.12.31 16:13	buy	1	eurjpypro	113.976	115.649	0	2013.01.02 04:07	115.649	-513	0	-280	167 300
3965878	2012.12.31 15:05	buy	1	eurjpypro	113.986	113.954	0	2012.12.31 16:13	113.954	-8	0	0	-3 200
3964264	2012.12.31 07:04	buy	1	eurjpypro	113.63	113.958	0	2012.12.31 15:04	113.958	-8	0	0	32 800
3963329	2012.12.30 23:29	buy	1	eurjpypro	113.744	113.522	0	2012.12.31 06:18	113.522	-8	0	0	-22 200
3963095	2012.12.28 21:39	buy	1	eurjpypro	113.75	113.432	0	2012.12.30 22:02	113.161	-8	0	-140	-58 900
3962475	2012.12.28 15:22	buy	1	eurjpypro	113.86	113.679	0	2012.12.28 21:39	113.679	-8	0	0	-18 100
3962285	2012.12.28 14:35	buy	1	eurjpypro	113.894	113.713	0	2012.12.28 15:16	113.713	-8	0	0	-18 100
3954392	2012.12.24 17:59	buy	0.5	eurjpypro	111.762	112.542	0	2012.12.26 23:00	113.028	-4	0	-350	63 300
3951869	2012.12.24 17:59	buy	0.5	eurjpypro	111.762	112.542	0	2012.12.26 18:27	113.183	-4	0	-140	71 050
3950866	2012.12.24 11:30	buy	1	eurjpypro	111.727	111.73	0	2012.12.24 17:48	111.73	-8	0	0	300
3899944	2012.12.07 11:18	sell	3	eurusdpro	1.2915	0	0	2012.12.07 11:21	1.29216	-24	0	0	-16 311
3899932	2012.12.07 11:12	buy	1	eurusdpro	1.29251	0	0	2012.12.07 11:20	1.29192	-8	0	0	-4 860
3899908	2012.12.07 11:03	sell	1	eurjpypro	106.463	0	106.41	2012.12.07 11:04	106.46	-8	0	0	300
3899811	2012.12.07 10:01	sell	1	eurjpypro	106.59	0	0	2012.12.07 10:06	106.579	-8	0	0	1 100
3899765	2012.12.07 09:50	sell	1	eurjpypro	106.597	0	106.487	2012.12.07 09:59	106.569	-8	0	0	2 800
3899681	2012.12.07 09:24	sell	1	eurjpypro	106.462	106.562	106.362	2012.12.07 09:34	106.562	-8	0	0	-10 000
